bin_id,mean_predicted_probability,observed_positive_rate,brier_score
1,0.0,0.0,0.059113860878720316
2,0.0032862393774277803,0.058823529411764705,0.059113860878720316
3,0.006565392648287385,0.3,0.059113860878720316
4,0.012052248648401657,0.0625,0.059113860878720316
5,0.025195592492167948,0.0,0.059113860878720316
6,0.045458435164582284,0.05555555555555555,0.059113860878720316
7,0.07666088657685298,0.058823529411764705,0.059113860878720316
8,0.13729166666666665,0.0625,0.059113860878720316
9,0.30518593694774004,0.11764705882352941,0.059113860878720316
