model,accuracy,precision,recall,f1,roc_auc,tn_fp_fn_tp
logistic_regression,0.8197674418604651,0.16666666666666666,0.45454545454545453,0.24390243902439024,0.6143421795595708,"[136, 25, 6, 5]"
random_forest,0.936046511627907,0.5,0.09090909090909091,0.15384615384615385,0.6668548842461887,"[160, 1, 10, 1]"
lightgbm,0.9244186046511628,0.25,0.09090909090909091,0.13333333333333333,0.6967814793901751,"[158, 3, 10, 1]"
xgboost,0.9127906976744186,0.0,0.0,0.0,0.6132128740824392,"[157, 4, 11, 0]"
