bin_id,mean_predicted_probability,observed_positive_rate,brier_score
1,0.1949650778493032,0.0,0.1760669763621473
2,0.24035450537445258,0.11764705882352941,0.1760669763621473
3,0.26017245882248996,0.058823529411764705,0.1760669763621473
4,0.2907076430595357,0.058823529411764705,0.1760669763621473
5,0.31893838912941064,0.058823529411764705,0.1760669763621473
6,0.3418907739242199,0.0,0.1760669763621473
7,0.3696504570315377,0.0,0.1760669763621473
8,0.424386442364759,0.058823529411764705,0.1760669763621473
9,0.5491158538788854,0.11764705882352941,0.1760669763621473
10,0.7861267384223014,0.16666666666666666,0.1760669763621473
