slice_name,slice_value,error_type,error_count,slice_total_rows,error_rate_within_slice
age_group,25-34,FP,56,60,0.9333333333333333
age_group,35-44,FP,23,25,0.92
age_group,45-54,FP,3,4,0.75
age_group,55+,FP,1,1,1.0
age_group,<=24,FP,73,82,0.8902439024390244
is_smoker,0,FP,139,151,0.9205298013245033
is_smoker,1,FP,17,21,0.8095238095238095
has_std_history,0,FP,145,156,0.9294871794871795
has_std_history,1,FP,11,16,0.6875
