model,accuracy,precision,recall,f1,roc_auc,tn_fp_fn_tp
random_forest,0.9415204678362573,0.5,0.1,0.16666666666666666,0.6254658385093168,"[160, 1, 9, 1]"
logistic_regression,0.7719298245614035,0.08571428571428572,0.3,0.13333333333333333,0.546583850931677,"[129, 32, 7, 3]"
lightgbm,0.9239766081871345,0.2,0.1,0.13333333333333333,0.546583850931677,"[157, 4, 9, 1]"
xgboost,0.9298245614035088,0.0,0.0,0.0,0.5490683229813664,"[159, 2, 10, 0]"
